name,cap_hit
Conor Garland,4950000
Adin Hill,4900000
Blake Coleman,4900000
Mike Matheson,4875000
Elias Lindholm,4850000
Jesperi Kotkaniemi,4820000
Jordan Eberle,4750000
Ilya Mikheyev,4750000
Victor Olofsson,4750000
David Perron,4750000
Pavel Zacha,4750000
Alex Tuch,4750000
Ville Husso,4750000
Ben Chiarot,4750000
Jakob Chychrun,4600000
Alex Vlasic,4600000
Jamie Oleksiak,4600000
Rasmus Sandin,4600000
Artyom Zub,4600000
Rasmus Andersson,4550000
Nikita Zaitsev,4500000
Mike Hoffman,4500000
Alexander Wennberg,4500000
Tyson Barrie,4500000
Artturi Lehkonen,4500000
Chris Tanev,4500000
Mikael Backlund,4500000
Brandon Saad,4500000
Ryan O'Reilly,4500000
Josh Manson,4500000
Michael Bunting,4500000
Nick Foligno,4500000
Mason Marchment,4500000
Ryan Graves,4500000
Christian Dvorak,4450000
Filip Chytil,4437500
Sam Bennett,4425000
Filip Hronek,4400000
Connor Murphy,4400000
John Marino,4400000
Lawson Crouse,4300000
Mattias Samuelsson,4285714
Jason Dickinson,4250000
Viktor Arvidsson,4250000
Andreas Athanasiou,4250000
Tyler Toffoli,4250000
Petr Mrazek,4250000
Trevor Moore,4200000
Carter Verhaeghe,4166667
Anthony Beauvillier,4150000
John Klingberg,4150000
Shayne Gostisbehere,4125000
Mats Zuccarello,4125000
Mikey Anderson,4125000
Brandon Carlo,4100000
Nick Jensen,4050000
Marcus Pettersson,4025175
Brett Pesce,4025000
Jake McCabe,4000000
Jack Roslovic,4000000
Robby Fabbri,4000000
Marcus Foligno,4000000
Radko Gudas,4000000
Corey Perry,4000000
Alex Iafallo,4000000
Noah Dobson,4000000
Jake DeBrusk,4000000
Ryan Hartman,4000000
Ross Colton,4000000
Erik Gudbranson,4000000
Joonas Korpisalo,4000000
Nino Niederreiter,4000000
Nick Leddy,4000000
Adam Larsson,4000000
Jake Oettinger,4000000
Carter Hart,3979000
Evan Bouchard,3900000
Brenden Dillon,3900000
Matt Dumba,3900000
K'Andre Miller,3872000
Bowen Byram,3850000
Jake Allen,3850000
Nikita Zadorov,3750000
Boone Jenner,3750000
Filip Gustavsson,3750000
Matt Grzelcyk,3687500
Ryan Suter,3650000
Frank Vatrano,3650000
Barclay Goodrow,3641667
Ilya Samsonov,3550000
Joel Edmundson,3500000
Chris Driedger,3500000
Brandon Montour,3500000
Brandon Tanev,3500000
Thomas Novak,3500000
David Savard,3500000
Scott Mayfield,3500000
Joe Pavelski,3500000
Alex Kerfoot,3500000
Jeremy Swayman,3475000
Gabriel Vilardi,3437500
Matias Maccelli,3425000
Joel Armia,3400000
Vitek Vanecek,3400000
Justin Holl,3400000
Jonas Siegenthaler,3400000
Alexandar Georgiev,3400000
Jake Walman,3400000
Frederik Andersen,3400000
Aliaksei Protas,3375000
Kirby Dach,3362500
Connor Clifton,3333333
Marco Scandella,3275000
Ivan Fedotov,3275000
Tanner Pearson,3250000
Adam Lowry,3250000
Carson Soucy,3250000
Erik Johnson,3250000
Cody Ceci,3250000
Radek Faksa,3250000
Mario Ferraro,3250000
Kasperi Kapanen,3200000
Michael Rasmussen,3200000
Gustav Nyquist,3185000
Nick Paul,3150000
Matt Roy,3150000
Brian Dumoulin,3150000
Erik Haula,3150000
Sam Montembeault,3150000
